Date,Still Hospitalised,7 days Moving Average,Percentage Vaccinated,Passengers
-1.6958532844512957,-0.7257024645183969,-0.6173131022176126,-2.3191330016826703,-0.8453889910338772
-1.6545592919698255,-0.7316751170852221,-0.6173365460390998,-2.2358104994955035,-0.8453889910338772
-1.6132652994883552,-0.751987383987685,-0.6173521409013172,-2.1449654034601715,-0.8453889910338772
-1.571971307006885,-0.7402437338731709,-0.6173457282273808,-2.067270654956374,-0.8453889910338772
-1.530677314525415,-0.7565172428909471,-0.6173479101600197,-1.996182249720608,-0.8453889910338772
-1.3655013445995337,-0.7739633193504831,-0.6173753320368411,-1.685972360996538,-0.8453889910338772
-1.3242073521180635,-0.7739633193504831,-0.6173820251220926,-1.5785190645040896,-0.8453889910338772
-1.2829133596365934,-0.7888448234176064,-0.6173891805065855,-1.4706133417044107,-0.8453889910338772
-1.241619367155123,-0.7821024434337219,-0.6173965871195972,-1.374898544232967,-0.8453889910338772
-1.1177373897107123,-0.8031402112719804,-0.617404607068079,-1.055159426768567,-0.8453889910338772
-1.076443397229242,-0.8091999259574831,-0.6174044035071886,-0.9655838874198128,-0.8453889910338772
-1.0351494047477718,-0.8097168640989217,-0.6174054005942461,-0.8889310553727889,-0.8453889910338772
-0.9938554122663016,-0.8124619953940699,-0.6174078418199751,-0.8192500118540361,-0.8453889910338772
-0.9525614197848312,-0.8150448289593636,-0.6174085775103061,-0.7571767793749021,-0.8453889910338772
-0.8286794423404206,-0.8238520931257821,-0.6174080912658343,-0.5488543441396024,-0.8453889910338772
-0.7873854498589503,-0.8233251001617293,-0.6174022510082836,-0.5006807188460746,-0.8453889910338772
-0.7460914573774801,-0.8213036262840591,-0.617393375893141,-0.4550104644391216,-0.8453889910338772
-0.7047974648960098,-0.8226063521877253,-0.6173781436618325,-0.4055796324123812,-0.8453889910338772
-0.6635034724145396,-0.8174703101549922,-0.617358161089036,-0.3618028347284185,-0.8453889910338772
-0.5396214949701288,-0.7986026946772454,-0.6172641709901622,-0.215322987348353,-0.8453889910338772
-0.4983275024886585,-0.7913226204058129,-0.6172394757657876,-0.1693941332240643,-0.8453889910338772
-0.4570335100071883,-0.7777120602838027,-0.617202615506282,-0.1272369731835309,-0.3477154275760185
-0.415739517525718,-0.76511378740231,-0.61714981229843,-0.0875421897953407,-0.3477154275760185
-0.3744455250442478,-0.7385669948246164,-0.6170695705483883,-0.0470695060550068,-0.3477154275760185
-0.250563547599837,-0.7031001403965734,-0.616748917816461,0.0776908395823279,-0.3477154275760185
-0.2092695551183667,-0.6989524694065269,-0.6164816503788965,0.1178400359211666,-0.3477154275760185
-0.1679755626368965,-0.6837846502867608,-0.6161555141660128,0.1571917969813041,-0.3477154275760185
-0.1266815701554263,-0.6837846502867608,-0.6155017048695981,0.2000125913500055,-0.3477154275760185
-0.085387577673956,-0.6643703805394247,-0.6143265025982545,0.2430762859106607,-0.3477154275760185
0.0384943997704547,-0.5865675880540389,-0.6087048013680292,0.3407026424378854,-0.3477154275760185
0.0797883922519249,-0.5488560553190676,-0.6042066537082067,0.3694120767670999,-0.3477154275760185
0.1210823847333951,-0.5339543654385087,-0.5989813192867325,0.4007556215018235,-0.3477154275760185
0.1623763772148654,-0.5161416220409374,-0.5926105650364756,0.4366654902482668,-0.3477154275760185
0.2036703696963357,-0.5443233980082552,-0.5865761626418546,0.476371257050218,-0.3477154275760185
0.3275523471407464,-0.1747268090282951,-0.5582019063841495,0.5664946515589203,-0.3477154275760185
0.3688463396222167,-0.06367887973245,-0.5482674517713595,0.5996689872135972,-0.3477154275760185
0.4101403321036869,-0.118569629587617,-0.5263691075724123,0.638346756881289,-0.3477154275760185
0.4514343245851572,-0.0396438093386329,-0.5026986326841386,0.6684785834016552,-0.3477154275760185
0.4927283170666274,-0.0998716035522506,-0.4691632475567437,0.6952402271691304,-0.3477154275760185
0.6166102945110382,0.3912555376219907,-0.3350247826636866,0.7667352931114698,-0.3477154275760185
0.6579042869925085,0.5032673037474811,-0.2438034352971532,0.7719666683567183,-0.3477154275760185
0.6991982794739787,0.5346636220478067,-0.1619163065131231,0.7752279947295296,-0.3477154275760185
0.740492271955449,0.6152838765203282,-0.0487476298790571,0.7762135091345251,-0.3477154275760185
0.7817862644369192,0.60217859523076,0.123413685936793,0.7843101700774494,1.5876817636489875
0.90566824188133,0.5989146011536186,0.4362681125203952,0.7894158367830764,1.5876817636489875
0.9469622343628,1.1740458988326403,0.6897395303344953,0.7904253474186299,1.5876817636489875
0.9882562268442704,1.2068643840744466,0.9956313855970724,0.7925853575555344,1.5876817636489875
1.0295502193257406,1.2651504413768448,1.260419396755847,0.793454106059733,1.5876817636489875
1.070844211807211,1.3937503902967558,1.455389752694855,0.8138660027800997,1.5876817636489875
1.1947261892516217,2.032206130380376,2.0651151905489358,0.8947488760043658,1.5876817636489875
1.2360201817330918,1.642912179816037,1.889933316869553,0.9311389251617564,1.5876817636489875
1.2773141742145622,1.1537134244428615,1.7622143262931416,0.9618123098963576,1.5876817636489875
1.3186081666960323,1.1699684060086584,1.5879661758358867,0.9878137433105983,1.5876817636489875
1.359902159177503,1.5229386321062337,1.5435699841264918,1.0111060729594112,1.5876817636489875
1.483784136621913,2.115701268379513,1.6000101148440469,1.0878662571073143,1.5876817636489875
1.5250781291033837,2.243952062237271,1.9301050896520409,1.1142254870484811,1.5876817636489875
1.5663721215848538,2.13682473597827,2.1650333119177305,1.1319787953379314,1.5876817636489875
1.6076661140663242,1.6148741165359983,2.3515329790909822,1.1491131733357638,1.5876817636489875
1.6489601065477943,1.5962997573258162,2.4242789900315964,1.166008295571188,1.5876817636489875
